pool_slot,changeout_week,equipo,component_serial,changeout_date,arrival_week,pool_changeout_type,component_code
5,2024-W22,871,#140,2024-05-27,2024-W30,P,cms
5,2024-W24,870,#66301444,2024-06-10,,I,mp
5,2024-W27,879,#EE09100668,2024-07-01,2024-W34,I,bp
5,2024-W28,878,#EMXK408,2024-07-08,2024-W35,P,cd
5,2024-W30,872,#RLRE657,2024-07-22,2024-W39,P,st
5,2024-W31,850,#201-1,2024-07-29,2024-W49,I,cms
6,2023-W29,883,#EE06050200-1,2023-07-17,2023-W42,I,bp
6,2023-W29,866,#EMVW318,2023-07-17,2023-W43,I,cd
6,2023-W35,878,#221,2023-08-28,2023-W43,P,cms
6,2023-W43,879,#EE19030195,2023-10-23,2024-W5,I,bp
6,2023-W44,883,#100,2023-10-30,2024-W9,I,cms
6,2023-W44,399,#66303600,2023-10-30,2024-W12,I,mp
6,2023-W49,322,#WX14100052T,2023-12-04,2024-W16,I,mt
6,2023-W49,864,#124-1,2023-12-04,2024-W6,P,st
6,2024-W2,883,#222,2024-01-08,2024-W13,P,cl
6,2024-W6,870,#EMYK00487,2024-02-05,2024-W20,I,cd
6,2024-W10,848,#203,2024-03-04,2024-W24,I,cms
6,2024-W12,872,#EG07080103,2024-03-18,2024-W19,P,bp
6,2024-W13,849,#66303592,2024-03-25,2024-W25,P,mp
6,2024-W20,856,#WX14020007T,2024-05-13,2024-W39,I,mt
6,2024-W25,876,#202,2024-06-17,2024-W43,I,cms
6,2024-W25,870,#66303006,2024-06-17,,I,mp
6,2024-W29,852,#EMWJ360,2024-07-15,2024-W36,P,cd
7,2023-W29,869,#EMYK00485,2023-07-17,2023-W36,P,cd
7,2023-W31,399,#EE14091188,2023-07-31,2023-W45,I,bp
7,2023-W36,398,#203,2023-09-04,2023-W45,P,cms
7,2023-W45,399,#66303600,2023-11-06,2024-W13,I,mp
7,2023-W46,880,#EE14070949,2023-11-13,2024-W1,P,bp
7,2023-W50,857,#W12030036,2023-12-11,2024-W17,I,mt
7,2023-W50,863,#143,2023-12-11,2024-W6,P,cms
7,2023-W51,874,#142,2023-12-18,2024-W17,I,st
7,2024-W6,870,#EMWH340,2024-02-05,2024-W20,I,cd
7,2024-W7,882,#152,2024-02-12,2024-W19,I,cms
7,2024-W8,856,#LM021235,2024-02-19,2024-W19,P,cl
7,2024-W12,863,#EE14010057,2024-03-18,2024-W19,P,bp
7,2024-W14,860,#66303280,2024-04-01,,P,mp
7,2024-W20,882,#EE13101130,2024-05-13,2024-W27,P,bp
7,2024-W20,851,#156,2024-05-13,2024-W38,I,cms
7,2024-W23,322,#W13050087,2024-06-03,2024-W42,I,mt
7,2024-W29,869,#EMYK00480,2024-07-15,2024-W43,I,cd
8,2023-W31,847,#EMWB291,2023-07-31,2023-W38,P,cd
8,2023-W32,858,#EE14020272,2023-08-07,2023-W45,I,bp
8,2023-W37,859,#220,2023-09-11,2023-W46,P,cms
8,2023-W46,322,#EE1009117,2023-11-13,2024-W1,P,bp
8,2023-W51,855,#WX14100053T,2023-12-18,2024-W18,I,mt
8,2023-W51,867,#238,2023-12-18,2024-W13,I,cms
8,2024-W3,854,#LM017267,2024-01-15,2024-W21,I,st
8,2024-W8,870,#180,2024-02-19,2024-W19,P,cl
8,2024-W11,881,#67LB23,2024-03-11,2024-W18,P,cd
8,2024-W13,291,#EG07070070,2024-03-25,2024-W19,P,bp
8,2024-W14,322,#239,2024-04-01,2024-W23,P,cms
8,2024-W20,875,#EE14010114,2024-05-13,2024-W27,P,bp
8,2024-W24,861,#195,2024-06-10,2024-W42,I,cms
8,2024-W29,872,#WX1902Y002T,2024-07-15,2024-W40,P,mt
8,2024-W31,847,#EMVF266,2024-07-29,2024-W38,P,cd
9,2023-W33,860,#EE13101143,2023-08-14,2023-W47,I,bp
9,2023-W33,873,#EMYA460,2023-08-14,2023-W47,I,cd
9,2023-W39,856,#228,2023-09-25,2024-W2,I,cms
9,2023-W49,876,#EE06120635,2023-12-04,2024-W11,I,bp
9,2024-W3,397,#125,2024-01-15,2024-W12,P,cms
9,2024-W5,855,#RLSH663,2024-01-29,2024-W23,I,st
9,2024-W6,869,#W12030041,2024-02-05,2024-W25,I,mt
9,2024-W13,870,#192,2024-03-25,2024-W22,P,cms
9,2024-W13,859,#LM017272,2024-03-25,2024-W32,I,cl
9,2024-W14,877,#EE19010005,2024-04-01,2024-W21,P,bp
9,2024-W14,877,#EMXK393,2024-04-01,2024-W21,P,cd
9,2024-W23,861,#195,2024-06-03,2024-W41,I,cms
9,2024-W29,852,#WX1410049T,2024-07-15,2024-W48,I,mt
