pool_number,cc_week,equipo,component_serial,component_tag,year,week,componente,SUB COMPONENTE,MODELO,POSICION,FECHA DE CAMBIO,HORA EQ,HORA CC,MENOR AL 90% TBO,TBO,USO,DESCRIPCIÓN DE FALLA,SUBCOMPONENTE FALLADO,MODO DE FALLA,Equipo SAP,ORDEN,ID,Reseva,Aviso,N/S INSTALADO,Equipo,Solicitud de montaje,OS,OS 14.000,RMCARE,Pauta puesta servicio(entrante),TSI,No Conformidad,CLASIFICACIÓN,COMENTARIO ENTRANTE,COMENTARIO SALIENTE,Proyeccion Horómetro,% uso Proyectado,pool_type,ohv_normal,ohv_unplanned,cc_date,arrival_date
5,2023-W29,870,#EE14010117,bl,2023,29,Blower,Blower,960E,DERECHO,2023-07-17,52843,16263,0.0,20000,0.81315,"Se procede a cambio de blower N°2, por Flashover. Componente no es considerado para cambio en plan semanal W28.",,Flashover,200223636,400353462,230719065237,2569625,10360171,#EE15071392,200199855,82842,18121265,,CERRADA,,,,Mantenimiento,,,6222.0,0.3111,I,51,101,2023-07-17,2023-10-26
5,2023-W43,847,#EG07080103,bl,2023,43,Blower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,51,101,2023-10-23,2024-02-01
5,2024-W11,881,#EN12040099,bl,2024,11,Blower,Blower,960E,DERECHO,2024-03-14,46245,2798,0.0,20000,0.1399,Se realiza cambio de blower derecho por flashover. Componente es considerado dentro del plan semanal W11,Flashover,Flashover,200112301,400367640,240316080707,2699115,10370544,#EE13111435,200142526,87232,18125307,ABIERTA,CERRADO,,,,Producto,,,2125.0,0.10625,I,51,101,2024-03-11,2024-06-20
5,2024-W27,879,#EE09100668,bl,2024,27,Blower,Blower,960E,DERECHO,2024-07-01,56407,3148,0.0,20000,0.1574,"Se realiza cambio de blower N°2 por principios de flashover, componente es considerado para cambio en plan semanal W27.",Conmutador,Flashover,200218676,400374136,240702103934,2759433,10375314,#EE98060158,100017390,89791,18127453,,CERRADO,,,,Producto,,,272.0,0.0136,I,51,101,2024-07-01,2024-10-10
6,2023-W29,883,#EE06050200-1,bl,2023,29,Blower,Blower,960E,IZQUIERDO,2023-07-20,50961,8547,0.0,20000,0.42735,"Durante la mantención de TKD 883, Personal eléctrico detecta carbones con desgaste los cuales se cambian con fecha el 21-06-2023, dentro de la misma inspección declaran encontrar daños en el conmutador del Blower N°1, se programa cambio para la semana 29. Blower saliente fue reparado por electrans",Conmutador,Flashover,200214492,400353209,230721142025,2570520,10360178,#EN12110029,200123422,82844,18121349,,CERRADA,,,,Mantenimiento,,,6171.0,0.30855,I,51,101,2023-07-17,2023-10-26
6,2023-W43,879,#EE19030195,bl,2023,43,Blower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,51,101,2023-10-23,2024-02-01
6,2024-W12,872,#EG07080103,bl,2024,12,Blower,Blower,960E,DERECHO,2024-03-19,56602,471,0.0,20000,0.02355,Se realiza cambio de blower derecho por encontrarse con condigo 39/1. Componente no es considerado dentro del plan semanal W12,,,200029686,400367725,240319100106,2700607,10370628,#EN11110073,200166038,87241,18125314,ABIERTA,CERRADO,,,,Producto,,,2040.0,0.102,I,51,101,2024-03-18,2024-06-27
7,2023-W31,399,#EE14091188,bl,2023,31,Blower,Blower,960E,IZQUIERDO,2023-08-06,65883,19176,1.0,20000,0.9588,Se realiza cambio de blower por evaluación de mantenedores MEL en terreno. Componente no es considerado dentro del plan samanal,,,200234548,400354573,230807122020,2580009,10360911,#EE11050262,200093613,82990,18121581,,CERRADA,,,,Mantenimiento,,,5882.0,0.2941,P,51,101,2023-07-31,2023-09-20
7,2023-W46,880,#EE14070949,bl,2023,46,Blower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,51,101,2023-11-13,2024-02-22
7,2024-W12,863,#EE14010057,bl,2024,12,Blower,Blower,960E,IZQUIERDO,2024-03-24,56906,19206,1.0,20000,0.9603,"Se procede a cambio de blower N°1 por daño en conmutador, componente es considerado para cambio en pan semanal W12.",Conmutador,Flashover,200173933,400368089,240325151436,2704267,10370822,#EE13070558,200196046,87369,18125410,,CERRADO,,,,Producto,,,1955.0,0.09775,P,51,101,2024-03-18,2024-05-08
7,2024-W20,882,#EE13101130,bl,2024,20,Blower,Blower,960E,IZQUIERDO,2024-05-18,55512,15137,0.0,20000,0.75685,"Se procede a cambio de blower izquierdo por daño en conmutador, componente es considerado para cambio en plan semanal W20.",Conmutador,Flashover,200191637,400371568,240519134441,2735435,10373275,#EE09120837,200251693,88718,18126639,,CERRADO,,,,Producto,,,1020.0,0.051,I,51,101,2024-05-13,2024-08-22
8,2023-W32,858,#EE14020272,bl,2023,32,Blower,Blower,960E,DERECHO,2023-08-12,64000,3502,0.0,20000,0.1751,"Se realiza cambio de blower N°2 por evidencia de flashover, componente no es considerado para cambio en plan semanal W32.",,Flashover,200222989,400355071,230813174513,2583266,10361063,#EN11120059,200105776,83179,18121626,,CERRADA,,,,Producto,,,5780.0,0.289,I,51,101,2023-08-07,2023-11-16
8,2023-W46,322,#EE1009117,bl,2023,46,Blower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,51,101,2023-11-13,2024-02-22
8,2024-W13,291,#EG07070070,bl,2024,13,Blower,Blower,930E,IZQUIERDO,2024-03-30,23612,22792,1.0,20000,1.1396,Se realiza cambio de blower izquierdo por TBO. Componente es considerado dentro del plan semanal W13,TBO,TBO,200046049,400368330,240331091404,2707502,10371067,#EE13101312A,200161760,87470,18125631,,CERRADO,,,,TBO,,,1853.0,0.09265,P,51,101,2024-03-25,2024-05-15
8,2024-W20,875,#EE14010114,bl,2024,20,Blower,Blower,960E,IZQUIERDO,2024-05-19,58231,6199,,20000,0.30995,"Se procede a cambio de blower izquierdo por imprevisto, ya que en mantención programada técnicos encontraron que se encontraba en mal estado y le dieron prioridad a Blower N°1 para cambio por el motivo por daño excesivo en conmutador. Componente no se encontraba planificado para cambio en lado izquierdo para la semana W20.",Conmutador,Flashover,200214262,400371516,240519140640,2735494,10373277,#EE21060101,200324039,88711,18126660,,CERRADO,,,,Producto,,,1003.0,0.05015,I,51,101,2024-05-13,2024-08-22
9,2023-W33,860,#EE13101143,bl,2023,33,Blower,Blower,960E,IZQUIERDO,2023-08-14,56352,12971,0.0,20000,0.64855,"Se procede a cambio de blower N°1 , Ya que se evalua equipo encontrando codigo36/2. Se revisa blower de parrillas y el blower izquierdo presenta flashover por carbones cortos. Componente no es considerado para cambio en plan semanal W33.",,Flashover,200199520,400355134,230815113252,2584048,10361161,#EE14020214,200177301,83227,18121627,,CERRADA,,,,Producto,,,5746.0,0.2873,I,51,101,2023-08-14,2023-11-23
9,2023-W49,876,#EE06120635,bl,2023,49,Blower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,51,101,2023-12-04,2024-03-14
9,2024-W14,877,#EE19010005,bl,2024,14,Blower,Blower,960E,IZQUIERDO,2024-04-02,53225,11759,0.0,20000,0.58795,Se realiza cambio de blower 1 por daño en delgas conmutador. Componente es considerado dentro del plan semanal,Delgas,Conmutador,200240591,400368519,240402125944,2708894,10371224,#EE06040239,200006173,87604,18125651,,CERRADO,,,,Producto,,,1802.0,0.0901,I,51,101,2024-04-01,2024-07-11
10,2023-W34,876,#EE13080690,bl,2023,34,Blower,Blower,960E,DERECHO,2023-08-21,47757,5652,0.0,20000,0.2826,"Se realiza cambio de blower N°2 por evidencia de flashover, componente no es considerado para cambio en plan semanal W33.",Flashover,Flashover,200199945,400355546,230821152341,2587093,10361470,#EE06120635,200068538,83511,18121992,,CERRADA,,,,Mantenimiento,,,5627.0,0.28135,I,51,101,2023-08-21,2023-11-30
10,2023-W50,867,#EE06040239,bl,2023,50,Blower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,51,101,2023-12-11,2024-03-21
10,2024-W15,399,#EE11050262,bl,2024,15,Blower,Blower,960E,IZQUIERDO,2024-04-14,70371,4033,0.0,20000,0.20165,Se realiza cambio de blower izquierdo por daño en conmutador. Componente es considerado dentro del plan semanal W15,Conmutador,Conmutador,200093613,400369378,240414171804,2716271,10371782,#EE05100472,200282578,87787,18125948,,CERRADO,,,,Producto,,,1598.0,0.0799,I,51,101,2024-04-08,2024-07-18
11,2023-W34,882,#EE14080990,bl,2023,34,Blower,Blower,960E,DERECHO,2023-08-21,50549,5863,0.0,20000,0.29315,Durante la mantención de TKD 882 Blower se encontraba con seguimiento desde la W30 por flashover en porta carbones. Componente saliente y entrante fuero reparados por empresa ElectransComponente es considerado dentro de plan semanal,,,200214757,400355457,230821152723,2587074,10361472,#EE14010080,200333292,Montado por Leslie Jollares , -,,CERRADA,,,,Producto,,,5627.0,0.28135,I,51,101,2023-08-21,2023-11-30
11,2024-W01,860,#EE13060826,bl,2024,01,Blower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,51,101,2024-01-01,2024-04-11
11,2024-W16,867,#EE06040201,bl,2024,16,Blower,Blower,960E,IZQUIERDO,2024-04-18,60255,8628,,20000,0.4314,"Se procede a cambio de blower N°1, ya que se presenta conmutador con flashover en inspección en PM, Componente no es considerado para cambio en plan semanal W16.",Conmutador,Flashover,200015813,400369910,240421154726,2720515,10372072,#EE15101887,200248243,88119,18126163,,CERRADO,,,,Producto,,,,,I,51,101,2024-04-15,2024-07-25
12,2023-W35,849,#EE14020271,bl,2023,35,Blower,Blower,960E,IZQUIERDO,2023-09-01,68070,2860,0.0,20000,0.143,Se realiza cambio de blower izquierdo por daño en conmutador. Componente es considerado dentro del plan semanal,Flashover,Flashover,200209824,400366641,240227095139,2688770,10369664,#EE21080658,200322954,86959,,,CERRADO,,,,Producto,,,5440.0,0.272,I,51,101,2023-08-28,2023-12-07
12,2024-W03,879,#EE13101312A,bl,2024,03,Blower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,51,101,2024-01-15,2024-04-25
12,2024-W16,881,#EE04070186,bl,2024,16,Blower,Blower,960E,IZQUIERDO,2024-04-20,46350,3415,0.0,20000,0.17075,"Se procede a cambio de blower N°1, se revisan carbones y conmutador encontrandose con chisporroteo y codigo 39. Componente no es considerado para cambio en plan semanal W16.",Conmutador,Conmutador,200033597,400369868,240421120045,2720408,10372059,#EE14050656,200183679,88118,18126164,,CERRADO,,,,Producto,,,1496.0,0.0748,I,51,101,2024-04-15,2024-07-25
13,2023-W37,868,#EE18060073,bl,2023,37,Blower,Blower,960E,IZQUIERDO,2023-09-13,55840,25334,1.0,20000,1.2667,Se realiza cambio de blower izuiqerdo por TBO. Componente es considerado dentro del plan semanal,TBO,TBO,200235666,400357055,230914080838,2599492,10362484,#EE12050060,200116230,84212,18122067,,CERRADA,,,,TBO,,,5236.0,0.2618,P,51,101,2023-09-11,2023-11-01
13,2024-W05,289,#EE14091188,bl,2024,05,Blower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,51,101,2024-01-29,2024-05-09
13,2024-W18,851,#EE10040299,bl,2024,18,Blower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,51,101,2024-04-29,2024-08-08
1,2023-W27,870,#EMYK00473,cd,2023,27,Cilindro Dirección,Cilindro Dirección,960E,IZQUIERDO,2023-07-05,52458,12829,1.0,12000,1.06908333333333,"Se procede a cambio de cilindro dirección izquierdo por TBO, Componente es considerado dentro del plan semanal",TBO,TBO,200243021,400357432, 230925133353,2603983,10362750,#EMWH340,200105839,84049,18122408,,CERRADA,,,,TBO,,,6426.0,0.5355,P,46,96,2023-07-03,2023-08-18
1,2023-W51,879,#EMWH336,cd,2023,51,Cilindro Dirección,Cilindro Dirección,960E,IZQUIERDO,2023-12-23,52734,8670,0.0,12000,0.7225,Se realiza cambio de cilindro de dirección izquierdo por fuga en vastago. Componente es considerado dentro del plan semanal,Fuga Vastago,Fuga Vastago,200291203,400362965,231225022437,2654112,10366623,#EMVB215	,200154498,85902,18123923,,CERRADO,,,,Producto,,,3519.0,0.29325,I,46,96,2023-12-18,2024-03-23
1,2024-W24,866,#EMWL374,cd,2024,24,Cilindro Dirección,Cilindro Dirección,960E,DERECHO,2024-06-15,60868,11263,12046.0,12000,0.938583333333333,"Se realiza cambio de cilindro de dirección derecho por cumplimiento de su TBO establecido, componente no es considerado para cambio en plan semanal W24.",TBO,TBO,200195396,400373424,240616185853,2750962,10374643,#EMWK311,200123928,89602,"
18127222",,CERRADO,,,,TBO,,,544.0,0.0453333333333333,P,46,96,2024-06-10,2024-07-26
2,2023-W27,851,#EMWG300,cd,2023,27,Cilindro Dirección,Cilindro Dirección,960E,IZQUIERDO,2023-07-05,65105,11368,1.0,12000,0.947333333333333,"Se procede a cambio de cilindro dirección izquierdo por TBO, Componente es considerado dentro del plan semanal",TBO,TBO,200195391,400352749,230706100539,2563241,10359569,#EMWH335,200195239,82443,18121202,,CERRADA,,,,TBO,,,6426.0,0.5355,P,46,96,2023-07-03,2023-08-18
2,2023-W52,882,#26KF32,cd,2023,52,Cilindro Dirección,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,46,96,2023-12-25,2024-03-30
2,2024-W25,869,#EMVM323,cd,2024,25,Cilindro Dirección,Cilindro Dirección,960E,IZQUIERDO,2024-06-20,59323,13340,1.0,12000,1.11166666666667,"Se realiza cambio de cilindro de dirección izquierdo por cumplimiento de su TBO establecido, componente es considerado para cambio en plan semanal W25.",TBO,TBO,200195387,400373666,240622163253,2754130,10374874,#EMTC052,200234867,89622,18127319,,CERRADO,,,,TBO,,,459.0,0.03825,P,46,96,2024-06-17,2024-08-02
